Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0.0,ORtg,DRtg
520,Isaiah Stewart\stewais01,C,20,DET,71,71,1816,6.7,13.2,.510,0.4,1.2,.326,6.3,11.9,.529,2.0,2.8,.718,6.1,10.5,16.6,2.2,0.6,2.1,2.3,5.7,15.8,0.0,113,112
521,Max Strus\strusma01,SF,25,MIA,68,16,1587,7.8,17.8,.441,5.7,13.9,.410,2.1,3.8,.557,1.3,1.7,.792,0.8,5.6,6.4,2.9,0.9,0.5,1.8,3.7,22.7,0.0,116,112
522,Jalen Suggs\suggsja01,PG,20,ORL,48,45,1307,7.3,20.3,.361,1.6,7.3,.214,5.8,13.0,.443,4.7,6.0,.773,1.0,5.4,6.3,7.7,2.2,0.7,5.3,5.3,20.9,0.0,88,112
523,Craig Sword\swordcr01,SG,28,WAS,3,0,19,7.8,10.4,.750,0.0,2.6,.000,7.8,7.8,1.000,0.0,0.0,0.0,0.0,0.0,0.0,2.6,10.4,0.0,2.6,18.2,15.6,0.0,115,99
524,Keifer Sykes\sykeske01,PG,28,IND,32,11,566,6.0,16.4,.363,2.3,7.8,.300,3.6,8.7,.420,1.3,1.5,.882,0.7,3.2,3.9,5.4,1.0,0.3,2.9,4.4,15.6,0.0,94,120
525,Jae'Sean Tate\tateja01,SF,26,HOU,78,77,2056,8.4,16.9,.498,1.5,4.7,.312,6.9,12.2,.569,3.0,4.3,.707,3.1,6.6,9.7,5.1,1.7,0.9,3.2,6.6,21.3,0.0,111,116
526,Jayson Tatum\tatumja01,SF,23,BOS,76,76,2731,12.9,28.5,.453,4.2,11.8,.353,8.7,16.6,.524,7.3,8.5,.853,1.5,9.5,11.1,6.1,1.4,0.9,3.9,3.2,37.2,0.0,113,106
527,Terry Taylor\taylote01,SG,22,IND,33,7,714,9.3,15.1,.614,0.8,2.6,.316,8.4,12.5,.676,2.5,3.5,.706,6.5,5.3,11.8,2.8,1.0,0.5,1.6,4.2,21.8,0.0,135,119
528,Garrett Temple\templga01,SG,35,NOP,59,16,1098,5.0,13.3,.376,2.7,8.3,.319,2.3,4.9,.473,1.3,1.8,.683,1.3,5.1,6.4,3.3,1.9,1.0,1.9,3.6,13.9,0.0,101,113
529,Emanuel Terry\terryem01,PF,25,PHO,3,0,18,0.0,13.4,.000,0.0,0.0,0.0,0.0,13.4,.000,0.0,0.0,0.0,21.4,18.7,40.1,5.3,2.7,0.0,13.4,10.7,0.0,0.0,61,99
530,Tyrell Terry\terryty01,PG,21,MEM,2,0,3,15.9,15.9,1.000,0.0,0.0,0.0,15.9,15.9,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,31.9,0.0,200,118
531,Jon Teske\teskejo01,C,24,MEM,3,0,8,0.0,6.0,.000,0.0,0.0,0.0,0.0,6.0,.000,0.0,12.0,.000,0.0,12.0,12.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,32,99
532,Daniel Theis\theisda01,C,29,TOT,47,27,977,7.5,14.4,.519,1.6,5.3,.308,5.8,9.1,.641,2.4,3.6,.681,2.9,8.4,11.3,2.0,1.0,1.5,2.3,5.5,19.0,0.0,113,112
533,Brodric Thomas\thomabr01,SG,25,BOS,12,0,60,6.6,14.9,.444,1.7,7.5,.222,5.0,7.5,.667,2.5,4.1,.600,1.7,6.6,8.3,9.1,0.8,0.8,5.0,5.8,17.4,0.0,101,109
534,Cam Thomas\thomaca02,SG,20,BRK,67,2,1176,9.0,20.7,.433,1.9,7.2,.270,7.0,13.6,.520,3.6,4.3,.829,0.7,6.0,6.6,3.2,1.4,0.3,2.3,2.7,23.5,0.0,103,115
535,Isaiah Thomas\thomais02,PG,32,TOT,22,1,333,9.7,24.1,.401,4.0,12.0,.337,5.6,12.1,.464,3.2,3.8,.846,0.6,3.6,4.2,4.9,1.0,0.7,2.2,4.9,26.6,0.0,104,117
536,Matt Thomas\thomama02,SG,27,CHI,40,0,459,5.9,14.3,.410,3.7,9.7,.385,2.1,4.6,.465,1.7,2.1,.800,0.3,5.0,5.3,2.1,0.9,0.3,0.9,1.9,17.1,0.0,113,117
537,Klay Thompson\thompkl01,SG,31,GSW,32,32,941,12.7,29.7,.429,5.9,15.3,.385,6.8,14.4,.477,2.4,2.6,.902,0.8,5.7,6.5,4.6,0.8,0.9,2.2,2.8,33.8,0.0,107,110
538,Tristan Thompson\thomptr01,PF,30,TOT,57,6,897,7.6,14.4,.528,0.1,0.2,.333,7.6,14.3,.530,3.3,6.3,.526,6.5,9.1,15.6,1.8,1.2,1.1,2.4,5.3,18.6,0.0,112,114
539,JT Thor\thorjt01,PF,19,CHO,33,0,262,4.4,10.1,.436,1.3,4.9,.259,3.1,5.1,.607,2.2,3.7,.600,2.0,5.9,7.9,3.5,1.5,2.0,1.8,4.8,12.3,0.0,108,114
540,Matisse Thybulle\thybuma01,SG,24,PHI,66,50,1685,4.4,8.9,.500,1.3,4.3,.313,3.1,4.6,.673,1.0,1.3,.791,1.2,3.2,4.5,2.2,3.4,2.1,1.2,4.7,11.2,0.0,116,108
541,Killian Tillie\tilliki02,C,23,MEM,36,3,461,4.5,13.2,.339,2.8,8.9,.314,1.7,4.3,.390,0.5,0.8,.625,2.2,4.0,6.2,2.3,2.4,1.6,1.3,6.0,12.2,0.0,101,109
542,Xavier Tillman Sr.\tillmxa01,PF,23,MEM,53,2,701,6.7,14.7,.454,0.7,3.3,.204,6.0,11.4,.527,3.1,4.8,.648,4.5,6.5,11.0,4.2,3.3,1.0,2.3,4.3,17.2,0.0,112,107
543,Isaiah Todd\toddis01,PF,20,WAS,12,0,74,4.7,17.4,.269,2.7,10.7,.250,2.0,6.7,.300,1.3,4.0,.333,2.0,6.0,8.0,2.7,2.7,1.3,2.7,2.7,13.4,0.0,74,112
544,Obi Toppin\toppiob01,PF,23,NYK,72,10,1230,10.2,19.2,.531,2.1,6.9,.308,8.1,12.4,.655,3.8,5.0,.758,2.8,8.1,10.9,3.1,1.0,1.3,2.3,4.1,26.4,0.0,120,111
545,Juan Toscano-Anderson\toscaju01,SF,28,GSW,73,6,994,5.6,11.5,.489,1.4,4.3,.322,4.3,7.3,.588,2.0,3.4,.571,1.4,7.3,8.6,6.2,2.4,0.8,3.3,5.6,14.6,0.0,106,106
546,Karl-Anthony Towns\townska01,C,26,MIN,74,74,2476,12.3,23.3,.529,2.9,7.0,.410,9.5,16.3,.580,7.4,9.0,.822,3.7,10.2,14.0,5.2,1.4,1.6,4.3,5.1,34.9,0.0,121,110
547,Gary Trent Jr.\trentga02,SG,23,TOR,70,69,2448,9.2,22.2,.414,4.3,11.1,.383,4.9,11.0,.445,3.6,4.2,.853,0.5,3.4,3.9,2.9,2.5,0.4,1.5,2.9,26.2,0.0,114,112
548,P.J. Tucker\tuckepj01,PF,36,MIA,71,70,1981,5.2,10.8,.484,2.0,4.9,.415,3.2,5.9,.540,1.1,1.5,.738,2.5,7.2,9.8,3.8,1.5,0.4,1.7,4.1,13.6,0.0,120,110
549,Rayjon Tucker\tuckera01,SG,24,TOT,5,0,71,4.1,6.1,.667,2.7,3.4,.800,1.4,2.7,.500,3.4,4.8,.714,2.0,3.4,5.5,6.8,2.7,0.0,0.7,3.4,14.3,0.0,178,112
550,Myles Turner\turnemy01,C,25,IND,42,42,1235,7.9,15.6,.509,2.4,7.3,.333,5.5,8.3,.662,3.1,4.2,.752,2.6,9.2,11.8,1.7,1.1,4.7,2.1,4.7,21.4,0.0,117,111
551,Jonas Valančiūnas\valanjo01,C,29,NOP,74,74,2240,11.2,20.7,.544,1.3,3.5,.361,10.0,17.2,.581,5.2,6.4,.820,5.0,13.6,18.6,4.2,0.9,1.3,3.9,5.4,29.0,0.0,118,111
552,Denzel Valentine\valende01,SG,28,TOT,24,0,222,5.6,14.8,.379,4.3,10.6,.404,1.3,4.3,.316,0.0,0.0,0.0,2.0,7.4,9.4,2.5,1.8,0.0,2.7,4.5,15.5,0.0,98,110
553,Jarred Vanderbilt\vandeja01,PF,22,MIN,74,67,1880,5.4,9.1,.587,0.1,0.4,.143,5.3,8.8,.605,2.2,3.3,.656,5.4,10.3,15.8,2.4,2.5,1.2,1.8,4.6,13.0,0.0,127,108
554,Fred VanVleet\vanvlfr01,PG,27,TOR,65,65,2462,9.0,22.3,.403,4.9,13.0,.377,4.1,9.2,.440,3.9,4.5,.874,0.9,5.0,5.9,8.8,2.3,0.7,3.5,3.3,26.8,0.0,115,111
555,Devin Vassell\vassede01,SF,21,SAS,71,32,1937,8.1,18.9,.427,3.4,9.4,.361,4.7,9.5,.492,2.1,2.5,.838,1.1,6.5,7.6,3.4,1.9,1.0,1.4,3.5,21.6,0.0,109,112
